countyFIPS,County.Name,State,stateFIPS,January,February,March,April,May,June,July,August,September,October,November
1001,Autauga County,AL,1,0,0,7,35,178,317,478,427,349,368,545
1003,Baldwin County,AL,1,0,0,19,155,114,392,2421,1444,1095,1300,1636
1005,Barbour County,AL,1,0,0,0,39,125,161,273,159,139,164,110
1007,Bibb County,AL,1,0,0,3,39,33,95,193,191,110,209,297
1009,Blount County,AL,1,0,0,5,32,25,146,559,520,342,445,805
1011,Bullock County,AL,1,0,0,2,11,196,156,72,114,59,43,41
1013,Butler County,AL,1,0,0,1,52,357,197,146,113,51,105,131
1015,Calhoun County,AL,1,0,0,9,84,64,119,1174,1117,1002,1292,1354
1017,Chambers County,AL,1,0,0,36,254,65,235,269,174,146,210,375
1019,Cherokee County,AL,1,0,0,2,13,22,37,164,167,215,163,227
1021,Chilton County,AL,1,0,0,11,41,48,114,485,495,415,329,268
1023,Choctaw County,AL,1,0,0,3,40,110,39,84,50,26,43,26
1025,Clarke County,AL,1,0,0,0,32,112,121,227,500,117,285,182
1027,Clay County,AL,1,0,0,2,19,6,26,145,175,219,180,138
1029,Cleburne County,AL,1,0,0,5,7,3,14,82,95,202,175,186
1031,Coffee County,AL,1,0,0,0,111,124,122,357,373,306,472,555
1033,Colbert County,AL,1,0,0,4,25,153,190,686,408,218,467,909
1035,Conecuh County,AL,1,0,0,0,9,32,139,191,114,53,39,106
1037,Coosa County,AL,1,0,0,4,25,10,16,41,39,39,48,119
1039,Covington County,AL,1,0,0,2,34,44,236,459,321,320,470,294
1041,Crenshaw County,AL,1,0,0,1,18,56,51,160,186,71,77,89
1043,Cullman County,AL,1,0,0,8,47,86,267,723,513,278,859,1553
1045,Dale County,AL,1,0,0,0,27,86,131,522,337,315,488,411
1047,Dallas County,AL,1,0,0,2,36,234,542,518,283,184,107,346
1049,DeKalb County,AL,1,0,0,4,72,170,337,1078,491,309,1197,1146
1051,Elmore County,AL,1,0,0,12,74,264,472,782,591,544,570,728
1053,Escambia County,AL,1,0,0,1,27,34,196,753,393,216,146,213
1055,Etowah County,AL,1,0,0,8,131,116,360,1293,898,769,937,1670
1057,Fayette County,AL,1,0,0,1,5,10,53,102,144,158,135,285
1059,Franklin County,AL,1,0,0,3,55,496,293,327,391,229,326,382
1061,Geneva County,AL,1,0,0,0,9,33,21,157,218,212,321,239
1063,Greene County,AL,1,0,0,3,51,40,70,78,43,21,45,72
1065,Hale County,AL,1,0,0,1,46,123,120,165,104,94,140,167
1067,Henry County,AL,1,0,0,0,24,54,52,115,131,138,230,108
1069,Houston County,AL,1,0,0,8,82,129,220,839,783,893,1346,924
1071,Jackson County,AL,1,0,0,8,40,30,136,545,559,293,710,796
1073,Jefferson County,AL,1,0,0,282,604,940,2432,7124,5044,3795,4064,7524
1075,Lamar County,AL,1,0,0,1,10,15,46,124,95,91,148,137
1077,Lauderdale County,AL,1,0,0,12,26,126,248,609,416,322,706,1502
1079,Lawrence County,AL,1,0,0,3,9,37,54,197,176,160,280,347
1081,Lee County,AL,1,0,0,75,316,156,641,1377,1999,1453,685,1016
1083,Limestone County,AL,1,0,0,22,22,61,302,760,520,470,874,1155
1085,Lowndes County,AL,1,0,0,1,64,181,216,95,62,40,67,68
1087,Macon County,AL,1,0,0,1,36,45,86,142,125,48,75,172
1089,Madison County,AL,1,0,0,100,125,112,710,3765,1661,1532,1675,3284
1091,Marengo County,AL,1,0,0,4,45,119,110,233,128,89,333,141
1093,Marion County,AL,1,0,0,9,66,47,83,347,239,185,145,250
1095,Marshall County,AL,1,0,0,6,311,374,814,1366,751,361,554,1645
1097,Mobile County,AL,1,0,0,53,1004,1181,1422,4475,4124,1299,3703,2390
1099,Monroe County,AL,1,0,0,1,12,26,156,237,113,47,75,116
1101,Montgomery County,AL,1,0,0,31,306,1356,2146,2300,1853,902,1760,1609
1103,Morgan County,AL,1,0,0,19,49,210,688,1194,750,439,1125,2006
1105,Perry County,AL,1,0,0,0,9,29,97,305,77,26,61,79
1107,Pickens County,AL,1,0,0,4,44,68,89,156,202,109,244,300
1109,Pike County,AL,1,0,0,4,62,137,201,248,311,257,159,202
1111,Randolph County,AL,1,0,0,2,60,63,46,223,125,153,187,160
1113,Russell County,AL,1,0,0,1,56,114,303,712,441,163,214,208
1115,St. Clair County,AL,1,0,0,15,57,51,179,924,618,535,827,930
1117,Shelby County,AL,1,0,0,86,234,194,563,1984,1500,1603,1552,2445
1119,Sumter County,AL,1,0,0,1,63,160,52,88,39,31,53,88
1121,Talladega County,AL,1,0,0,7,54,51,153,718,781,426,607,682
1123,Tallapoosa County,AL,1,0,0,13,272,142,140,278,208,120,225,356
1125,Tuscaloosa County,AL,1,0,0,29,179,561,1217,1887,2004,3152,1705,2212
1127,Walker County,AL,1,0,0,32,63,258,502,611,448,455,580,671
1129,Washington County,AL,1,0,0,3,31,34,33,205,216,38,208,139
1131,Wilcox County,AL,1,0,0,3,63,82,132,130,104,18,41,58
1133,Winston County,AL,1,0,0,2,13,74,142,199,146,175,213,347
2013,Aleutians East Borough,AK,2,0,0,0,0,0,0,1,1,1,3,5
2016,Aleutians West Census Area,AK,2,0,0,0,0,0,0,4,1,0,2,6
2020,Municipality of Anchorage,AK,2,0,0,65,114,50,211,1136,1425,1413,3740,6276
2050,Bethel Census Area,AK,2,0,0,0,1,2,3,13,40,55,357,486
2060,Bristol Bay Borough,AK,2,0,0,0,0,0,0,0,0,0,0,0
2068,Denali Borough,AK,2,0,0,0,0,0,0,1,0,6,20,9
2070,Dillingham Census Area,AK,2,0,0,0,0,0,0,0,5,4,29,20
2090,Fairbanks North Star Borough,AK,2,0,0,35,46,4,59,242,254,498,1052,719
2100,Haines Borough,AK,2,0,0,0,0,0,2,2,0,1,2,3
2105,Hoonah-Angoon Census Area,AK,2,0,0,0,0,0,0,6,12,6,7,4
2110,City and Borough of Juneau,AK,2,0,0,9,18,6,11,43,88,119,194,216
2122,Kenai Peninsula Borough,AK,2,0,0,8,11,26,101,146,118,44,459,1044
2130,Ketchikan Gateway Borough,AK,2,0,0,13,3,0,5,13,12,4,15,95
2150,Kodiak Island Borough,AK,2,0,0,0,1,0,2,3,8,10,52,52
2158,Kusilvak Census Area,AK,2,0,0,0,0,0,0,4,4,6,225,135
2164,Lake and Peninsula Borough,AK,2,0,0,0,0,0,0,6,4,18,18,20
2170,Matanuska-Susitna Borough,AK,2,0,0,3,18,8,49,181,213,152,803,1050
2180,Nome Census Area,AK,2,0,0,0,1,2,2,12,24,32,60,41
2185,North Slope Borough,AK,2,0,0,0,0,1,3,9,26,93,126,123
2188,Northwest Arctic Borough,AK,2,0,0,0,0,2,2,24,38,52,128,75
2195,Petersburg Census Area,AK,2,0,0,0,4,0,0,2,1,0,8,3
2198,Prince of Wales-Hyder Census Area,AK,2,0,0,0,2,0,0,3,20,6,3,11
2220,Sitka City and Borough,AK,2,0,0,0,1,1,9,10,17,15,13,51
2230,Skagway Municipality,AK,2,0,0,0,0,0,0,0,0,0,7,0
2240,Southeast Fairbanks Census Area,AK,2,0,0,0,1,2,0,11,4,10,45,117
2261,Valdez-Cordova Census Area,AK,2,0,0,0,0,0,0,42,31,4,44,63
2275,Wrangell City and Borough,AK,2,0,0,0,0,0,3,2,6,2,0,1
2282,Yakutat City and Borough,AK,2,0,0,0,0,0,0,0,0,0,0,0
4001,Apache County,AZ,4,0,0,16,433,1077,811,657,344,216,449,1214
4003,Cochise County,AZ,4,0,0,4,35,37,538,889,313,95,293,1230
4005,Coconino County,AZ,4,0,0,81,405,665,734,1062,377,842,1209,1854
4007,Gila County,AZ,4,0,0,1,12,18,261,517,297,240,637,898
4009,Graham County,AZ,4,0,0,2,14,16,64,355,263,137,395,871
4011,Greenlee County,AZ,4,0,0,1,1,4,12,37,3,1,43,106
4012,La Paz County,AZ,4,0,0,2,12,65,263,127,29,46,83,161
4013,Maricopa County,AZ,4,1,0,787,3184,5965,38655,68701,16435,8128,16905,40061
4015,Mohave County,AZ,4,0,0,7,110,286,668,1847,697,389,436,1528
4017,Navajo County,AZ,4,0,0,91,621,1161,1752,1577,396,203,693,1390
4019,Pima County,AZ,4,0,0,202,1039,1141,5622,8163,5054,4407,2970,9379
4021,Pinal County,AZ,4,0,0,62,335,468,2709,4416,1560,1092,1475,3845
4023,Santa Cruz County,AZ,4,0,0,2,31,297,1441,828,129,121,195,732
4025,Yavapai County,AZ,4,0,0,21,58,218,474,962,578,255,456,1838
4027,Yuma County,AZ,4,0,0,9,69,1053,5081,4668,1350,500,1200,3271
5001,Arkansas County,AR,5,0,0,1,1,4,22,161,94,143,283,241
5003,Ashley County,AR,5,0,0,1,14,4,52,159,158,48,127,268
5005,Baxter County,AR,5,0,0,3,2,7,8,40,78,228,383,615
5007,Benton County,AR,5,0,0,38,63,477,2145,1735,906,1335,1810,3191
5009,Boone County,AR,5,0,0,2,2,2,20,131,208,387,336,628
5011,Bradley County,AR,5,0,0,1,10,11,30,86,157,47,31,101
5013,Calhoun County,AR,5,0,0,0,0,0,0,12,11,13,21,85
5015,Carroll County,AR,5,0,0,0,5,19,144,163,138,241,329,352
5017,Chicot County,AR,5,0,0,2,7,6,119,372,456,45,48,120
5019,Clark County,AR,5,0,0,24,6,9,17,96,81,124,163,276
5021,Clay County,AR,5,0,0,0,3,1,50,48,80,132,196,329
5023,Cleburne County,AR,5,0,0,61,11,1,12,93,79,81,137,224
5025,Cleveland County,AR,5,0,0,4,7,8,6,38,73,50,68,102
5027,Columbia County,AR,5,0,0,2,11,9,61,101,111,205,245,318
5029,Conway County,AR,5,0,0,2,11,1,41,79,72,67,86,296
5031,Craighead County,AR,5,0,0,10,64,146,231,637,781,1207,1745,2068
5033,Crawford County,AR,5,0,0,3,1,25,130,277,485,544,683,853
5035,Crittenden County,AR,5,0,0,29,158,193,366,426,471,327,543,686
5037,Cross County,AR,5,0,0,1,16,35,33,72,122,174,159,216
5039,Dallas County,AR,5,0,0,0,1,0,9,46,71,39,15,110
5041,Desha County,AR,5,0,0,2,14,3,28,95,101,57,124,123
5043,Drew County,AR,5,0,0,2,13,5,45,90,149,55,81,250
5045,Faulkner County,AR,5,0,0,36,40,26,375,698,518,873,934,1158
5047,Franklin County,AR,5,0,0,0,2,2,17,83,62,127,276,205
5049,Fulton County,AR,5,0,0,0,1,6,5,15,43,107,166,197
5051,Garland County,AR,5,0,0,31,85,20,112,566,614,521,671,1113
5053,Grant County,AR,5,0,0,3,11,4,22,84,67,81,107,206
5055,Greene County,AR,5,0,0,4,12,48,50,179,341,275,719,1206
5057,Hempstead County,AR,5,0,0,1,4,13,32,150,130,52,202,255
5059,Hot Spring County,AR,5,0,0,4,15,13,394,1010,281,204,354,608
5061,Howard County,AR,5,0,0,4,9,8,68,202,134,60,132,178
5063,Independence County,AR,5,0,0,4,5,22,24,276,434,383,345,537
5065,Izard County,AR,5,0,0,0,5,11,4,23,59,151,368,358
5067,Jackson County,AR,5,0,0,0,1,2,24,30,126,176,540,803
5069,Jefferson County,AR,5,0,0,40,129,352,179,593,811,1289,896,848
5071,Johnson County,AR,5,0,0,3,28,12,184,385,153,94,196,192
5073,Lafayette County,AR,5,0,0,0,7,2,9,30,20,49,75,67
5075,Lawrence County,AR,5,0,0,1,58,25,15,80,70,212,412,267
5077,Lee County,AR,5,0,0,0,3,17,631,231,121,62,48,60
5079,Lincoln County,AR,5,0,0,6,808,168,56,127,439,421,310,108
5081,Little River County,AR,5,0,0,0,0,6,32,111,132,81,116,148
5083,Logan County,AR,5,0,0,0,2,4,40,93,226,56,190,303
5085,Lonoke County,AR,5,0,0,6,35,7,90,267,321,504,635,770
5087,Madison County,AR,5,0,0,0,1,22,169,61,43,69,77,165
5089,Marion County,AR,5,0,0,0,1,1,4,17,22,57,74,246
5091,Miller County,AR,5,0,0,1,33,10,70,337,151,255,726,536
5093,Mississippi County,AR,5,0,0,0,19,56,93,509,672,359,683,728
5095,Monroe County,AR,5,0,0,0,4,1,7,37,45,41,92,71
5097,Montgomery County,AR,5,0,0,0,1,1,2,21,76,54,31,91
5099,Nevada County,AR,5,0,0,1,0,5,95,28,33,62,107,112
5101,Newton County,AR,5,0,0,1,2,0,2,86,29,128,74,110
5103,Ouachita County,AR,5,0,0,0,6,4,10,55,83,111,126,308
5105,Perry County,AR,5,0,0,2,5,7,15,20,13,27,61,99
5107,Phillips County,AR,5,0,0,0,4,17,121,128,135,110,262,149
5109,Pike County,AR,5,0,0,2,1,2,2,70,99,58,40,91
5111,Poinsett County,AR,5,0,0,5,17,11,25,93,338,186,491,468
5113,Polk County,AR,5,0,0,4,3,12,55,51,99,44,102,400
5115,Pope County,AR,5,0,0,6,37,105,285,728,613,392,645,831
5117,Prairie County,AR,5,0,0,0,2,0,18,39,56,39,86,110
5119,Pulaski County,AR,5,0,0,103,415,370,1148,2697,2339,2437,2841,3982
5121,Randolph County,AR,5,0,0,3,14,9,22,116,147,131,244,266
5123,St. Francis County,AR,5,0,0,2,81,589,140,300,233,197,243,243
5125,Saline County,AR,5,0,0,11,56,45,163,580,721,554,884,1648
5127,Scott County,AR,5,0,0,1,0,0,10,30,45,20,126,138
5129,Searcy County,AR,5,0,0,4,2,1,0,18,75,48,60,82
5131,Sebastian County,AR,5,0,0,8,5,27,428,1221,1188,935,1233,1831
5133,Sevier County,AR,5,0,0,2,9,199,490,229,228,50,187,303
5135,Sharp County,AR,5,0,0,0,7,39,7,46,50,90,140,301
5137,Stone County,AR,5,0,0,5,2,2,5,38,141,172,43,51
5139,Union County,AR,5,0,0,8,42,123,75,180,263,220,250,336
5141,Van Buren County,AR,5,0,0,19,9,0,5,17,68,58,39,145
5143,Washington County,AR,5,0,0,22,64,423,3069,2318,1004,2745,2159,3408
5145,White County,AR,5,0,0,11,23,10,42,164,278,370,682,1371
5147,Woodruff County,AR,5,0,0,1,0,0,5,12,9,28,76,62
5149,Yell County,AR,5,0,0,0,3,138,475,388,158,97,104,258
6001,Alameda County,CA,6,0,0,313,1290,1787,2574,5167,7056,3196,2493,4349
6003,Alpine County,CA,6,0,0,1,1,0,0,0,0,0,1,44
6005,Amador County,CA,6,0,0,2,6,2,12,99,115,21,54,137
6007,Butte County,CA,6,0,0,8,8,28,131,766,1085,778,340,709
6009,Calaveras County,CA,6,0,0,3,10,2,17,93,111,86,32,96
6011,Colusa County,CA,6,0,0,1,2,2,45,273,122,90,22,137
6013,Contra Costa County,CA,6,0,0,222,669,559,1682,4538,6268,2958,2299,4376
6015,Del Norte County,CA,6,0,0,0,3,42,6,37,35,21,37,132
6017,El Dorado County,CA,6,0,0,18,26,46,94,453,330,183,238,742
6019,Fresno County,CA,6,0,0,68,496,1179,3265,9431,10524,3658,2788,5612
6021,Glenn County,CA,6,0,0,2,3,11,96,213,128,144,88,199
6023,Humboldt County,CA,6,0,1,26,27,47,32,100,155,121,62,248
6025,Imperial County,CA,6,0,0,33,300,1301,4608,3124,1345,1197,1130,2687
6027,Inyo County,CA,6,0,0,8,11,1,11,20,123,14,53,49
6029,Kern County,CA,6,0,0,98,795,1357,2405,14680,9989,2804,2250,5959
6031,Kings County,CA,6,0,0,4,76,1042,1272,1986,1904,1567,475,2170
6033,Lake County,CA,6,0,0,0,7,14,39,135,150,88,271,182
6035,Lassen County,CA,6,0,0,0,0,5,7,53,650,26,24,1008
6037,Los Angeles County,CA,6,1,0,3010,20171,31814,48533,84952,53287,28531,37319,75657
6039,Madera County,CA,6,0,0,23,23,60,413,1424,1840,774,537,953
6041,Marin County,CA,6,0,0,107,128,248,724,3780,1176,566,402,263
6043,Mariposa County,CA,6,0,0,0,3,13,10,28,7,15,5,45
6045,Mendocino County,CA,6,0,0,4,8,18,48,234,392,250,211,320
6047,Merced County,CA,6,0,0,10,115,158,781,3221,3747,929,713,1863
6049,Modoc County,CA,6,0,0,0,0,0,0,0,12,0,38,75
6051,Mono County,CA,6,0,0,13,13,11,4,100,21,4,16,345
6053,Monterey County,CA,6,0,0,40,173,416,1013,2900,3438,2107,1665,2617
6055,Napa County,CA,6,0,0,15,52,45,205,571,543,293,297,910
6057,Nevada County,CA,6,0,0,21,20,0,75,183,147,95,101,541
6059,Orange County,CA,6,1,0,501,1891,3868,7582,22353,12342,5213,6131,13270
6061,Placer County,CA,6,0,0,67,80,68,469,1192,1127,593,757,1871
6063,Plumas County,CA,6,0,0,1,3,0,5,24,8,9,26,18
6065,Riverside County,CA,6,0,0,371,3660,3755,9510,19715,15898,6496,8645,13893
6067,Sacramento County,CA,6,0,2,222,853,323,1823,6597,8232,4602,3531,9554
6069,San Benito County,CA,6,0,2,19,30,36,146,389,475,213,151,352
6071,San Bernardino County,CA,6,0,0,183,1875,3188,7304,19680,15412,7561,9749,23501
6073,San Diego County,CA,6,0,2,732,2830,3917,6668,14899,9556,8576,9570,19607
6075,San Francisco County,CA,6,0,0,397,1102,1059,1045,2972,2919,1781,1124,2602
6077,San Joaquin County,CA,6,0,0,151,392,315,2998,7627,6014,2914,1695,3569
6079,San Luis Obispo County,CA,6,0,0,80,104,85,342,1172,1198,631,686,1658
6081,San Mateo County,CA,6,0,0,309,868,927,1128,2237,2700,1781,1421,2336
6083,Santa Barbara County,CA,6,0,0,99,397,1153,1247,3271,1976,1021,780,1261
6085,Santa Clara County,CA,6,2,11,1122,1028,613,1594,5543,7436,4030,3607,7468
6087,Santa Cruz County,CA,6,0,0,49,82,82,166,730,635,650,490,1314
6089,Shasta County,CA,6,0,0,6,25,8,79,251,201,305,1171,2555
6091,Sierra County,CA,6,0,0,0,0,1,0,1,4,0,0,13
6093,Siskiyou County,CA,6,0,0,3,2,2,22,44,64,29,75,383
6095,Solano County,CA,6,0,0,49,214,254,771,2323,1901,907,1215,2402
6097,Sonoma County,CA,6,0,0,85,147,321,583,1706,2876,1694,2234,2200
6099,Stanislaus County,CA,6,0,0,39,335,370,1511,6635,5820,1802,1416,3217
6101,Sutter County,CA,6,0,0,10,20,16,130,592,632,320,192,1232
6103,Tehama County,CA,6,0,0,0,1,3,74,148,186,169,340,668
6105,Trinity County,CA,6,0,0,0,0,1,1,3,8,3,17,106
6107,Tulare County,CA,6,0,0,45,595,1204,2312,5298,4585,2228,1585,2698
6109,Tuolumne County,CA,6,0,0,1,1,2,26,111,41,45,64,617
6111,Ventura County,CA,6,0,0,149,386,543,1662,4604,3309,2134,1623,3984
6113,Yolo County,CA,6,0,0,25,139,47,315,984,914,401,441,1295
6115,Yuba County,CA,6,0,0,7,11,12,41,400,444,257,181,628
8001,Adams County,CO,8,0,0,181,1404,1673,927,1772,1550,1852,5471,13008
8003,Alamosa County,CO,8,0,0,1,9,66,115,33,14,6,95,236
8005,Arapahoe County,CO,8,0,0,333,2139,1922,808,1675,1219,1321,3896,12222
8007,Archuleta County,CO,8,0,0,1,7,0,0,24,16,6,14,142
8009,Baca County,CO,8,0,0,3,7,2,2,0,2,2,15,68
8011,Bent County,CO,8,0,0,0,0,2,2,1,6,0,7,99
8013,Boulder County,CO,8,0,0,107,473,400,404,488,428,2135,1321,4739
8014,Broomfield County and City,CO,8,0,0,20,130,90,58,100,137,124,382,880
8015,Chaffee County,CO,8,0,0,17,49,6,5,209,30,20,86,182
8017,Cheyenne County,CO,8,0,0,0,0,5,0,3,1,5,1,41
8019,Clear Creek County,CO,8,0,0,4,9,3,3,7,9,5,46,96
8021,Conejos County,CO,8,0,0,0,0,2,11,10,8,4,39,86
8023,Costilla County,CO,8,0,0,3,0,3,15,1,10,0,6,45
8025,Crowley County,CO,8,0,0,1,1,62,6,2,1,1,22,991
8027,Custer County,CO,8,0,0,0,2,0,0,8,7,0,5,45
8029,Delta County,CO,8,0,0,1,43,25,14,21,61,24,25,339
8031,Denver County,CO,8,0,0,539,2462,2774,1316,2532,1642,2094,5578,16138
8033,Dolores County,CO,8,0,0,0,0,0,0,1,1,1,0,11
8035,Douglas County,CO,8,0,0,141,337,242,231,665,388,655,1552,5756
8037,Eagle County,CO,8,0,0,227,317,43,105,334,156,80,230,745
8039,Elbert County,CO,8,0,0,5,24,24,4,28,36,41,70,325
8041,El Paso County,CO,8,0,0,286,648,798,642,2099,1545,944,3650,14100
8043,Fremont County,CO,8,0,0,2,20,4,10,66,55,19,578,1774
8045,Garfield County,CO,8,0,0,33,60,46,159,393,153,112,263,852
8047,Gilpin County,CO,8,0,0,0,1,2,4,6,4,2,11,50
8049,Grand County,CO,8,0,0,4,1,9,7,21,21,13,78,219
8051,Gunnison County,CO,8,0,0,82,82,13,10,59,45,5,17,138
8053,Hinsdale County,CO,8,0,0,1,2,0,0,0,0,0,0,5
8055,Huerfano County,CO,8,0,0,1,1,1,1,2,3,15,10,103
8057,Jackson County,CO,8,0,0,0,0,0,2,6,1,0,0,9
8059,Jefferson County,CO,8,0,0,304,1034,883,461,1192,918,1053,3162,10341
8061,Kiowa County,CO,8,0,0,0,0,0,0,0,0,1,4,17
8063,Kit Carson County,CO,8,0,0,2,19,5,6,10,32,6,57,156
8065,Lake County,CO,8,0,0,1,17,13,20,19,10,18,37,130
8067,La Plata County,CO,8,0,0,23,39,19,31,85,43,23,123,823
8069,Larimer County,CO,8,0,0,99,264,220,153,623,594,683,1638,5271
8071,Las Animas County,CO,8,0,0,0,3,2,4,6,5,5,57,123
8073,Lincoln County,CO,8,0,0,1,2,0,1,2,2,3,14,107
8075,Logan County,CO,8,0,0,6,276,332,23,10,41,194,389,875
8077,Mesa County,CO,8,0,0,14,32,8,42,159,153,235,907,3885
8079,Mineral County,CO,8,0,0,2,0,0,5,11,1,1,1,14
8081,Moffat County,CO,8,0,0,3,3,1,6,11,10,9,29,192
8083,Montezuma County,CO,8,0,0,1,15,29,26,36,17,17,78,419
8085,Montrose County,CO,8,0,0,13,83,76,35,67,69,42,99,493
