countyFIPS,County.Name,State,stateFIPS,January,February,March,April,May,June,July,August,September
1001,Autauga County,AL,1,"     25,912 ","     25,906 ","     25,835 ","     25,140 ","     25,586 ","     25,060 ","     25,337 ","     25,446 ","     25,241 "
1003,Baldwin County,AL,1,"     95,316 ","     95,924 ","     96,391 ","     93,597 ","     96,285 ","     97,972 ","     98,731 ","     98,267 ","     96,940 "
1005,Barbour County,AL,1,"      8,509 ","      8,532 ","      8,537 ","      8,116 ","      8,700 ","      8,949 ","      9,284 ","      9,476 ","      9,528 "
1007,Bibb County,AL,1,"      8,629 ","      8,628 ","      8,617 ","      9,023 ","      8,814 ","      8,550 ","      8,640 ","      8,676 ","      8,587 "
1009,Blount County,AL,1,"     25,098 ","     25,179 ","     25,103 ","     23,944 ","     24,584 ","     24,380 ","     24,579 ","     24,792 ","     24,525 "
1011,Bullock County,AL,1,"      4,674 ","      4,784 ","      4,610 ","      4,339 ","      4,551 ","      4,810 ","      4,927 ","      4,983 ","      5,036 "
1013,Butler County,AL,1,"      9,155 ","      9,251 ","      9,030 ","      9,622 ","      9,564 ","      9,481 ","      9,789 ","      9,839 ","      9,879 "
1015,Calhoun County,AL,1,"     46,059 ","     45,942 ","     45,630 ","     47,895 ","     45,149 ","     44,000 ","     44,787 ","     44,829 ","     44,459 "
1017,Chambers County,AL,1,"     15,698 ","     15,709 ","     15,759 ","     16,369 ","     16,749 ","     16,168 ","     16,373 ","     16,674 ","     16,647 "
1019,Cherokee County,AL,1,"     11,373 ","     11,394 ","     11,597 ","     11,807 ","     11,892 ","     11,619 ","     11,647 ","     11,939 ","     11,925 "
1021,Chilton County,AL,1,"     19,591 ","     19,691 ","     19,603 ","     19,318 ","     19,696 ","     19,285 ","     19,466 ","     19,571 ","     19,410 "
1023,Choctaw County,AL,1,"      4,511 ","      4,532 ","      4,520 ","      4,306 ","      4,518 ","      4,537 ","      4,569 ","      4,635 ","      4,688 "
1025,Clarke County,AL,1,"      7,406 ","      7,389 ","      7,537 ","      7,422 ","      7,790 ","      7,899 ","      8,215 ","      8,300 ","      8,368 "
1027,Clay County,AL,1,"      6,065 ","      6,086 ","      6,094 ","      5,791 ","      6,028 ","      6,159 ","      6,330 ","      6,543 ","      6,562 "
1029,Cleburne County,AL,1,"      5,682 ","      5,716 ","      5,669 ","      5,518 ","      5,537 ","      5,636 ","      5,738 ","      5,763 ","      5,747 "
1031,Coffee County,AL,1,"     21,004 ","     21,190 ","     21,114 ","     20,213 ","     21,371 ","     21,606 ","     22,060 ","     22,758 ","     22,731 "
1033,Colbert County,AL,1,"     23,275 ","     23,541 ","     23,411 ","     23,538 ","     23,384 ","     22,870 ","     23,281 ","     23,667 ","     23,359 "
1035,Conecuh County,AL,1,"      4,440 ","      4,469 ","      4,466 ","      4,488 ","      4,614 ","      4,691 ","      4,861 ","      4,916 ","      4,903 "
1037,Coosa County,AL,1,"      4,452 ","      4,469 ","      4,489 ","      4,447 ","      4,611 ","      4,556 ","      4,662 ","      4,803 ","      4,795 "
1039,Covington County,AL,1,"     15,313 ","     15,489 ","     15,204 ","     14,616 ","     15,360 ","     15,563 ","     15,852 ","     16,118 ","     16,176 "
1041,Crenshaw County,AL,1,"      6,257 ","      6,410 ","      6,311 ","      6,450 ","      6,422 ","      6,522 ","      6,662 ","      6,729 ","      6,759 "
1043,Cullman County,AL,1,"     38,433 ","     38,597 ","     38,585 ","     37,939 ","     39,295 ","     38,756 ","     39,303 ","     40,280 ","     40,418 "
1045,Dale County,AL,1,"     20,496 ","     20,567 ","     20,443 ","     19,449 ","     20,506 ","     20,603 ","     21,168 ","     21,621 ","     21,596 "
