countyFIPS,County.Name,State,stateFIPS,January,February,March,April,May,June,July,August,September
1001,Autauga County,AL,1,     3.0,     2.7,     2.8,    11.4,     7.8,     6.6,     6.6,     4.6,     5.2
1003,Baldwin County,AL,1,     3.1,     2.6,     2.7,    15.4,     9.4,     7.3,     7.4,     5.1,     5.5
1005,Barbour County,AL,1,     3.8,     3.5,     3.7,     9.9,     8.7,     8.7,     9.5,     7.1,     8.6
1007,Bibb County,AL,1,     3.3,     2.9,     3.1,    17.7,    10.7,     8.5,     8.5,     6.2,     6.6
1009,Blount County,AL,1,     3.0,     2.5,     2.7,     9.4,     6.4,     5.6,     5.5,     3.6,     4.0
1011,Bullock County,AL,1,     4.2,     3.2,     3.4,     9.0,     6.9,     6.5,     7.5,     5.7,     6.5
1013,Butler County,AL,1,     4.2,     4.1,     4.1,    19.7,    12.2,    10.7,    11.5,     8.0,     9.1
1015,Calhoun County,AL,1,     3.8,     3.4,     3.6,    18.2,    11.6,     9.3,     9.5,     6.8,     7.5
1017,Chambers County,AL,1,     3.3,     2.8,     3.0,    15.5,    11.6,     9.5,     8.6,     5.9,     6.6
1019,Cherokee County,AL,1,     3.4,     2.8,     2.9,    12.1,     7.6,     5.9,     5.4,     3.5,     4.0
1021,Chilton County,AL,1,     2.9,     2.4,     2.7,    12.1,     8.8,     6.7,     6.7,     4.6,     5.1
1023,Choctaw County,AL,1,     5.4,     4.9,     5.0,    12.1,     9.5,     9.5,     9.1,     6.1,     7.1
1025,Clarke County,AL,1,     6.2,     5.6,     5.9,    15.0,    11.8,    11.0,    12.7,     9.4,    10.7
1027,Clay County,AL,1,     3.3,     2.7,     2.9,     9.2,     5.5,     4.5,     4.8,     3.3,     4.0
1029,Cleburne County,AL,1,     3.4,     2.9,     3.4,    12.6,     7.4,     6.0,     5.5,     3.6,     4.1
1031,Coffee County,AL,1,     3.1,     2.6,     2.9,     9.4,     6.7,     5.9,     5.6,     3.9,     4.5
1033,Colbert County,AL,1,     4.2,     3.7,     3.6,    16.6,    11.0,     8.8,     8.7,     6.0,     6.6
1035,Conecuh County,AL,1,     4.3,     3.8,     3.9,    14.7,     9.6,     9.0,     9.9,     7.0,     8.1
1037,Coosa County,AL,1,     3.5,     2.9,     3.1,    12.9,     8.4,     6.7,     6.5,     4.6,     5.2
1039,Covington County,AL,1,     3.6,     3.2,     3.4,    10.6,     7.2,     6.3,     6.3,     4.1,     4.7
1041,Crenshaw County,AL,1,     3.5,     2.9,     3.0,    15.5,     8.3,     6.8,     7.1,     4.7,     5.2
1043,Cullman County,AL,1,     2.8,     2.5,     2.6,    11.7,     7.4,     5.4,     5.1,     3.5,     3.8
1045,Dale County,AL,1,     3.2,     2.7,     2.9,     9.5,     7.2,     6.4,     6.6,     4.7,     5.4
1047,Dallas County,AL,1,     5.5,     5.1,     5.2,    20.8,    14.6,    13.1,    14.6,    10.5,    11.7
1049,DeKalb County,AL,1,     3.2,     2.7,     2.9,    11.6,     7.1,     5.6,     5.5,     3.7,     4.1
1051,Elmore County,AL,1,     3.0,     2.6,     2.7,    11.1,     7.5,     6.6,     6.7,     4.6,     5.2
1053,Escambia County,AL,1,     3.8,     3.4,     3.7,    11.6,     8.2,     8.0,     8.2,     5.9,     6.5
1055,Etowah County,AL,1,     4.2,     3.9,     4.0,    19.0,    12.1,     9.7,    10.0,     7.0,     7.6
1057,Fayette County,AL,1,     3.5,     2.9,     2.9,    11.0,     8.5,     6.9,     6.2,     4.2,     4.6
1059,Franklin County,AL,1,     3.1,     3.5,     2.8,    11.3,     6.5,     5.6,     5.5,     3.6,     3.9
1061,Geneva County,AL,1,     3.2,     2.7,     2.9,     8.1,     6.2,     5.6,     5.7,     3.8,     4.3
1063,Greene County,AL,1,     5.9,     5.5,     5.5,    22.0,    16.1,    13.7,    14.4,    10.7,    11.9
1065,Hale County,AL,1,     4.3,     4.0,     4.3,    20.6,    14.1,    11.8,    12.3,     9.0,    10.3
1067,Henry County,AL,1,     3.8,     3.2,     3.4,     9.2,     7.4,     6.4,     5.9,     4.5,     5.2
1069,Houston County,AL,1,     3.2,     2.8,     3.0,    11.0,     8.2,     7.4,     7.6,     5.5,     6.3
1071,Jackson County,AL,1,     3.7,     3.3,     3.4,    13.2,     8.4,     6.8,     6.3,     4.3,     4.7
1073,Jefferson County,AL,1,     3.0,     2.7,     2.8,    12.6,     9.4,     8.5,     9.0,     6.5,     7.3
1075,Lamar County,AL,1,     3.3,     3.1,     3.0,    11.6,     7.2,     6.2,     6.0,     4.1,     4.7
1077,Lauderdale County,AL,1,     3.5,     3.0,     3.1,    14.6,     9.5,     7.4,     7.3,     4.9,     5.3
1079,Lawrence County,AL,1,     3.3,     2.9,     3.0,    11.6,     8.1,     6.8,     6.7,     4.7,     5.1
1081,Lee County,AL,1,     2.9,     2.4,     2.7,    12.4,     8.6,     7.4,     7.3,     4.9,     5.4
1083,Limestone County,AL,1,     2.8,     2.4,     2.6,    11.5,     7.1,     5.7,     5.5,     3.8,     4.3
1085,Lowndes County,AL,1,     5.6,     5.0,     5.2,    26.0,    17.8,    16.8,    18.7,    13.6,    15.9
1087,Macon County,AL,1,     4.3,     3.9,     4.1,    18.7,    14.3,    12.8,    14.1,     9.6,    10.7
1089,Madison County,AL,1,     2.7,     2.3,     2.5,    10.5,     7.4,     6.5,     6.6,     4.6,     5.2
1091,Marengo County,AL,1,     4.0,     3.6,     3.8,    11.8,     8.4,     8.0,     8.5,     6.0,     6.9
1093,Marion County,AL,1,     3.9,     4.0,     3.4,    11.1,     7.3,     6.3,     6.6,     4.1,     4.9
1095,Marshall County,AL,1,     2.7,     2.4,     2.5,    10.9,     6.5,     5.3,     5.3,     3.5,     3.9
1097,Mobile County,AL,1,     4.0,     3.8,     3.8,    15.1,    12.1,    11.4,    12.3,     8.3,     9.3
1099,Monroe County,AL,1,     5.4,     5.1,     5.0,    15.8,    10.7,    10.4,    10.8,     7.6,     8.5
1101,Montgomery County,AL,1,     3.3,     3.0,     3.2,    15.1,    11.5,    10.9,    11.7,     8.4,     9.7
1103,Morgan County,AL,1,     2.8,     2.4,     2.5,    11.1,     7.5,     6.2,     6.3,     4.4,     4.8
1105,Perry County,AL,1,     5.2,     4.8,     5.0,    20.7,    15.0,    13.8,    14.4,    10.6,    11.6
1107,Pickens County,AL,1,     3.6,     3.3,     4.1,    14.1,    10.0,     8.4,     8.2,     6.0,     6.7
1109,Pike County,AL,1,     3.5,     2.9,     3.2,     9.0,     6.7,     6.7,     7.0,     4.8,     5.3
1111,Randolph County,AL,1,     3.3,     2.8,     2.9,    12.5,     8.1,     6.4,     5.3,     3.6,     3.9
1113,Russell County,AL,1,     3.2,     2.7,     2.9,    10.7,     8.3,     7.4,     7.0,     4.8,     5.2
1115,St. Clair County,AL,1,     2.9,     2.5,     2.6,    13.1,     8.0,     6.5,     6.5,     4.5,     5.1
1117,Shelby County,AL,1,     2.4,     2.0,     2.2,     9.2,     6.3,     5.3,     5.3,     3.7,     4.0
1119,Sumter County,AL,1,     4.4,     4.0,     4.1,    13.0,    10.2,     9.5,     9.2,     6.4,     7.2
1121,Talladega County,AL,1,     3.7,     3.3,     3.4,    19.8,    11.3,     8.3,     8.5,     6.0,     6.8
1123,Tallapoosa County,AL,1,     3.4,     2.8,     3.2,    16.3,     9.7,     8.3,     8.6,     6.0,     6.6
1125,Tuscaloosa County,AL,1,     2.8,     2.4,     2.6,    16.6,    10.7,     8.9,     8.9,     6.2,     6.8
1127,Walker County,AL,1,     3.9,     3.3,     3.4,    12.9,     8.8,     7.9,     7.7,     5.4,     5.9
1129,Washington County,AL,1,     5.0,     4.7,     4.6,    12.6,    11.9,    11.1,    12.1,     8.2,     8.7
1131,Wilcox County,AL,1,     8.9,     8.5,     8.7,    22.8,    18.9,    18.3,    19.1,    14.5,    17.0
1133,Winston County,AL,1,     3.8,     3.2,     3.3,    10.3,     6.5,     6.1,     5.9,     4.1,     4.7
2013,Aleutians East Borough,AK,2,     4.2,     2.0,     2.3,     9.7,    15.7,     5.6,     3.1,     1.7,     2.1
2016,Aleutians West Census Area,AK,2,     3.4,     2.0,     2.0,     4.5,    19.2,     9.5,     4.1,     2.2,     2.4
2020,Municipality of Anchorage,AK,2,     5.1,     4.5,     4.7,    13.9,    12.3,    12.0,    10.8,     6.5,     6.5
2050,Bethel Census Area,AK,2,    12.8,    12.6,    11.5,    12.6,    14.1,    15.8,    16.1,     9.9,    10.4
2060,Bristol Bay Borough,AK,2,    14.0,    15.3,    12.6,    10.3,    10.3,     6.9,     2.9,     3.9,     6.5
2068,Denali Borough,AK,2,    19.7,    18.2,    16.8,    24.7,    14.9,    12.2,     9.5,     6.0,     6.5
2070,Dillingham Census Area,AK,2,     8.7,     7.1,     7.2,     9.6,    10.4,    10.1,     7.4,     5.6,     6.9
2090,Fairbanks North Star Borough,AK,2,     5.9,     5.0,     5.0,    11.3,    10.3,    10.5,     8.9,     5.0,     5.1
2100,Haines Borough,AK,2,    16.0,    16.0,    14.5,    27.3,    22.6,    20.1,    16.1,     9.6,    10.6
2105,Hoonah-Angoon Census Area,AK,2,    16.1,    17.4,    14.7,    18.0,    16.8,    16.7,    14.5,     8.8,     9.7
2110,City and Borough of Juneau,AK,2,     4.7,     4.0,     4.1,    10.9,    10.9,    11.7,    10.3,     5.7,     5.8
2122,Kenai Peninsula Borough,AK,2,     7.8,     7.3,     7.2,    17.2,    14.1,    13.4,    11.7,     6.8,     7.6
2130,Ketchikan Gateway Borough,AK,2,     7.8,     7.4,     7.3,    17.4,    15.4,    14.5,    12.9,     7.6,     7.7
2150,Kodiak Island Borough,AK,2,     7.6,     4.4,     4.2,    10.6,    10.2,    10.3,     8.3,     4.5,     4.5
2158,Kusilvak Census Area,AK,2,    18.4,    19.2,    17.4,    20.4,    20.3,    24.7,    25.3,    13.7,    13.2
2164,Lake and Peninsula Borough,AK,2,    11.1,    11.3,    10.4,    14.2,    12.6,    12.3,     9.1,     5.7,     6.4
2170,Matanuska-Susitna Borough,AK,2,     7.4,     6.7,     6.9,    15.5,    13.0,    13.1,    11.8,     6.7,     6.8
2180,Nome Census Area,AK,2,    10.2,    10.4,     9.5,    12.7,    14.8,    16.1,    15.4,     8.7,     8.9
2185,North Slope Borough,AK,2,     5.9,     4.7,     4.4,     5.6,     8.1,     9.9,     8.2,     4.9,     5.5
2188,Northwest Arctic Borough,AK,2,    13.5,    13.7,    12.1,    14.6,    16.3,    18.8,    16.8,    10.3,    10.2
2195,Petersburg Census Area,AK,2,     9.2,     9.7,     9.5,    15.6,    15.4,    13.6,     9.3,     5.3,     5.5
2198,Prince of Wales-Hyder Census Area,AK,2,     9.4,    10.0,     9.6,    13.6,    13.6,    14.1,    13.4,     7.7,     7.8
2220,Sitka City and Borough,AK,2,     4.9,     4.3,     4.2,    12.8,    12.4,    11.8,     9.0,     4.7,     5.2
2230,Skagway Municipality,AK,2,    20.1,    21.2,    17.0,    31.5,    20.2,    18.7,    19.4,    12.2,    12.8
2240,Southeast Fairbanks Census Area,AK,2,     9.8,     9.6,     8.2,    10.6,    10.5,    10.8,     9.2,     5.3,     5.4
2261,Valdez-Cordova Census Area,AK,2,    10.7,    11.1,     9.6,    13.9,    12.6,    10.3,     8.3,     4.6,     5.3
2275,Wrangell City and Borough,AK,2,     8.0,     7.9,     7.4,    14.8,    13.2,    12.9,    10.8,     6.4,     6.7
2282,Yakutat City and Borough,AK,2,    11.9,    12.9,    10.8,    12.1,    13.0,    12.9,    10.8,     6.8,     6.7
4001,Apache County,AZ,4,    11.0,    10.2,    13.9,    15.7,    11.2,    16.3,    18.1,    10.3,    11.2
4003,Cochise County,AZ,4,     5.8,     5.4,     7.4,    11.1,     7.2,     8.8,     9.4,     5.3,     5.7
4005,Coconino County,AZ,4,     6.3,     5.8,     8.1,    17.4,    11.7,    13.3,    13.7,     7.9,     8.2
4007,Gila County,AZ,4,     5.8,     5.4,     7.5,    11.7,     7.5,     9.2,    10.4,     5.9,     6.5
4009,Graham County,AZ,4,     5.0,     4.8,     6.6,     7.7,     6.0,     8.9,    10.0,     5.3,     5.5
4011,Greenlee County,AZ,4,     3.8,     3.7,     5.2,     5.4,     4.2,     7.1,     8.1,     4.6,     5.0
4012,La Paz County,AZ,4,     6.0,     5.6,     7.6,     8.6,     6.0,     8.0,     9.0,     5.8,     6.2
