State,January,February,March,April,May,June,July,August,September
AK,0,0,133,221,104,462,1916,2352,2551
AL,0,0,997,6066,10786,20196,49676,38337,28641
AR,0,0,553,2548,3963,12989,20824,19438,21471
AZ,1,0,1288,6359,12471,59085,94806,27825,16672
CA,4,18,8772,41507,62381,117656,270062,211613,106881
CO,0,0,2836,12267,11261,6332,14093,10613,13109
CT,0,0,3051,24187,14729,4342,3258,3202,4630
DE,0,0,319,4390,4738,1990,3219,2488,2978
FL,0,0,6739,26944,22394,96200,317539,152642,82327
GA,0,0,3927,20929,18513,32685,92969,82710,47534
HI,0,0,209,399,33,259,1187,6360,3930
IA,0,0,496,6622,12360,9456,15538,20211,23861
ID,0,0,525,1488,826,3277,14598,11368,9963
IL,2,0,5974,46554,67524,23079,35634,56190,58198
IN,0,0,2159,15659,16751,11024,20745,30130,26041
KS,0,0,428,3807,5528,4765,13454,15053,17627
KY,0,0,512,4125,5050,5933,14530,18241,20447
LA,0,0,5213,22724,11878,18278,58177,31709,17840
MA,0,1,6286,55475,34907,11925,8711,9625,10506
MD,0,0,1660,20082,30973,14843,20786,19905,16476
ME,0,0,270,823,1225,970,620,617,863
MI,0,0,7500,32293,13473,13062,19828,21257,24587
MN,0,0,629,4496,19632,11459,18128,21349,23287
MO,0,0,1324,6205,5606,8396,28772,34357,41446
MS,0,0,935,5879,8670,11763,31496,24201,15245
MT,0,0,198,254,67,466,3024,3412,5649
NC,0,0,1491,8521,17656,36997,57481,45156,43327
ND,0,0,126,941,1508,1001,2891,5341,10038
NE,0,0,166,4064,9648,5123,7058,8089,11123
NH,0,0,291,1852,2501,1137,801,669,1012
NJ,0,0,15010,103164,41401,11333,10104,10578,13355
NM,0,0,315,3096,4050,3781,8106,4681,4026
NV,0,0,1039,3983,3572,9862,29608,21112,10751
NY,0,0,74412,229960,66398,22657,21587,19742,23893
OH,0,0,2197,15821,17489,16282,39369,31995,30834
OK,0,0,566,3051,2800,7333,22695,22203,28520
OR,0,1,688,1821,1733,4413,9832,8223,6796
PA,0,0,4839,40920,26165,14680,25440,21980,24943
RI,0,0,413,7120,5538,2158,2015,2565,2884
SC,0,0,1083,5012,5764,24438,52226,30465,28941
SD,0,0,100,2348,2540,1775,1990,4753,8883
TN,0,0,1741,8703,11984,19760,58069,48282,41575
TX,0,0,3604,24387,36288,95616,268252,192843,138398
UT,0,0,880,3796,4660,13021,17875,11858,20933
VA,0,0,1247,14605,28748,18174,27106,30700,27677
VT,0,0,281,581,114,226,204,210,128
WA,0,6,5268,8991,7367,11111,22871,18744,12862
WI,0,0,1351,5502,11547,10257,24282,22657,53527
WV,0,0,162,962,871,890,3754,3600,5609
WY,0,0,120,294,489,583,1240,1114,2107
