State,January,February,March,April,May,June,July,August,September
AK,10.154,9.854,8.968,14.496,14.043,13.189,11.193,6.671,7.096
AL,3.767,3.345,3.484,13.652,9.409,8.184,8.357,5.867,6.594
AR,4.959,4.764,5.764,10.157,9.272,8.476,7.623,7.315,7.009
AZ,6.487,6.007,8.353,13.480,9.300,11.440,12.520,7.360,7.887
CA,5.943,5.972,7.598,16.129,14.943,13.683,12.093,9.197,9.041
CO,3.048,3.150,5.806,11.194,9.158,9.722,6.227,5.602,5.163
CT,4.375,4.350,3.538,8.100,9.300,9.775,9.825,7.675,7.050
DE,4.433,4.267,5.267,15.300,15.933,12.867,10.567,8.967,7.967
FL,3.439,3.273,4.657,11.190,10.745,8.367,9.367,6.073,5.651
GA,3.963,3.981,4.912,10.418,7.543,6.685,7.033,5.261,5.504
HI,3.025,2.825,2.375,27.850,27.150,16.600,16.375,15.675,17.825
IA,3.741,3.222,3.659,9.569,8.525,7.180,5.811,5.181,3.631
ID,4.234,3.861,3.966,11.564,8.266,5.298,4.455,3.586,5.355
IL,4.570,3.829,3.521,15.370,12.776,11.051,8.847,7.973,6.875
IN,3.693,3.448,3.252,17.199,11.743,10.272,7.072,5.665,5.033
KS,3.208,3.048,2.676,7.134,6.229,5.122,5.537,5.163,4.017
KY,5.929,5.551,6.506,16.437,10.692,5.114,5.313,7.754,5.578
LA,6.750,5.170,7.455,12.344,12.303,9.509,9.334,7.653,7.759
MA,4.507,4.479,3.879,17.814,16.693,17.229,15.336,10.493,8.993
MD,4.275,4.167,4.067,10.492,9.725,8.046,7.421,6.567,6.275
ME,4.700,4.962,4.219,10.869,9.081,6.362,9.306,6.188,5.400
MI,6.013,5.093,5.022,25.540,20.034,13.688,9.289,8.080,7.169
MN,5.311,4.993,4.547,8.079,8.105,7.259,6.018,5.676,4.243
MO,4.826,4.296,4.332,8.555,8.070,6.853,6.445,6.322,3.575
MS,6.510,6.082,5.560,15.329,10.302,10.479,11.029,8.946,7.726
MT,4.639,4.362,4.405,9.241,7.093,6.316,5.705,5.037,4.450
NC,4.718,4.263,4.821,11.881,12.059,7.356,8.455,6.529,6.802
ND,3.338,3.345,3.098,7.787,7.183,6.277,5.491,4.281,3.392
NE,3.178,2.977,4.090,5.662,3.495,4.074,3.644,2.933,2.504
NH,3.090,3.080,2.760,17.850,15.550,8.920,7.670,6.200,5.450
NJ,5.024,4.738,4.190,16.557,15.414,16.700,14.262,10.952,6.367
NM,5.603,5.691,6.885,9.388,7.494,8.288,12.442,10.973,8.933
NV,3.771,3.794,6.247,14.518,11.176,6.924,6.835,6.506,6.000
NY,5.181,4.960,5.081,14.740,11.279,11.518,12.481,9.442,6.121
OH,5.905,5.444,5.915,17.302,12.878,10.320,8.344,8.044,7.242
OK,3.594,3.310,3.235,12.560,11.505,6.073,6.648,5.445,4.944
OR,4.939,4.778,4.753,14.583,13.422,10.622,9.528,7.564,6.544
PA,5.946,5.910,6.716,16.058,12.803,12.540,12.166,9.969,7.251
RI,3.860,3.760,4.620,16.660,14.660,11.000,10.200,11.420,8.780
SC,3.513,3.615,3.620,11.791,11.833,9.302,9.535,7.189,5.193
SD,4.389,4.218,3.870,8.917,7.839,6.668,6.077,5.020,3.974
TN,4.684,4.595,3.866,15.191,10.457,9.394,9.114,7.615,5.488
TX,3.899,3.701,5.275,9.859,10.275,7.570,7.310,6.176,7.554
UT,4.576,4.397,5.645,11.672,8.979,5.834,4.631,4.383,4.976
VA,3.624,3.342,3.979,10.860,8.765,8.211,7.932,6.268,6.005
VT,3.593,3.171,4.057,17.943,13.200,9.779,8.457,4.764,4.257
WA,6.326,6.118,5.782,15.018,13.946,9.469,10.782,8.631,7.408
WI,5.114,5.022,4.125,14.897,12.343,8.914,7.015,6.129,4.619
WV,6.780,6.911,7.622,15.938,12.771,11.055,10.513,9.493,8.507
WY,4.252,4.278,4.374,8.548,7.770,6.852,6.157,5.452,4.943
